doy	temp	glorad
321	7.7	3.06
322	9.53	2.47
323	9.77	3.71
324	6.6	2.68
325	5.67	3.52
326	6.33	3.41
327	7.1	2.5
328	5.67	3.4
329	6.87	2.68
330	6.9	2.19
331	7.4	1.14
332	5.93	1.09
333	4.27	3.05
334	3.47	2.43
335	3.53	1.95
336	4.97	2.51
337	4.73	1.89
338	3.9	1.76
339	3.63	1.54
340	3.63	1.66
341	5.07	2.03
342	6.2	1.8
343	3.97	1.62
344	3.03	1.87
345	3.77	2.48
346	5.33	1.77
347	7	0.95
348	7.3	1.6
349	8.87	1.74
350	7.4	1.67
351	8.27	1.86
352	7.3	1.87
353	8.43	2.31
354	7.37	1.47
355	4.53	2.27
356	4.43	1.52
357	6.93	1.48
358	9	0.7
359	4.07	2.59
360	2.67	2.18
361	4.47	2.17
362	4.57	1.44
363	4.77	1.84
364	7.07	2.13
365	7.07	2.43
