doy	temp	glorad
329	5.9	0.2
330	5.3	0.4
331	7.2	0.7
332	6.6	0.6
333	1.4	2.8
334	0.9	2.9
335	0.8	1.8
336	1.3	2.5
337	3.9	0.7
338	6.9	1.4
339	7.3	1.6
340	9.3	0.6
341	6	1.7
342	7.2	1
343	4.6	1.6
344	2.2	1.4
345	4.9	1.7
346	3.4	1.1
347	3.1	1.1
348	3.1	0.6
349	3.6	0.4
350	4.6	0.2
351	5.2	0.4
352	4.3	1.5
353	5.1	1.3
354	5.3	0.6
355	6.1	1
356	5.1	0.7
357	5.3	0.3
358	5.5	0.9
359	4.2	1.6
360	0.4	1.8
361	0.1	1.5
362	-0.5	0.7
363	4.6	0.4
364	7.6	1.4
365	4.9	2
