"doy","level"
1,3.8694081993791
2,3.88252094796851
3,3.89563369655793
4,3.90874644514734
5,3.92185919373676
6,3.93497194232617
7,3.94808469091559
8,3.961197439505
9,3.97431018809442
10,3.98742293668383
11,4.00053568527325
12,4.01364843386266
13,4.02676118245208
14,4.03987393104149
15,4.05298667963091
16,4.06609942822032
17,4.07921217680974
18,4.09232492539916
19,4.10543767398857
20,4.11855042257798
21,4.1316631711674
22,4.14477591975681
23,4.15788866834623
24,4.17100141693564
25,4.18411416552506
26,4.19722691411448
27,4.21033966270389
28,4.22345241129331
29,4.23656515988272
30,4.24967790847214
31,4.26279065706155
32,4.27590340565096
33,4.28901615424038
34,4.3021289028298
35,4.31524165141921
36,4.32835440000863
37,4.34146714859804
38,4.35457989718746
39,4.36769264577687
40,4.38080539436629
41,4.3939181429557
42,4.40703089154512
43,4.42014364013453
44,4.43325638872395
45,4.44636913731336
46,4.45948188590278
47,4.47259463449219
48,4.48570738308161
49,4.49882013167102
50,4.51193288026044
51,4.52504562884985
52,4.53815837743927
53,4.55127112602868
54,4.5643838746181
55,4.57749662320751
56,4.59060937179693
57,4.60372212038634
58,4.61683486897576
59,4.62994761756517
60,4.64306036615459
61,4.656173114744
62,4.66928586333342
63,4.68239861192283
64,4.69551136051225
65,4.70862410910166
66,4.72173685769108
67,4.73484960628049
68,4.74796235486991
69,4.76107510345932
70,4.77418785204874
71,4.78730060063815
72,4.80041334922757
73,4.81352609781698
74,4.8266388464064
75,4.83975159499581
76,4.85286434358523
77,4.86597709217464
78,4.87908984076406
79,4.89220258935347
80,4.90531533794289
81,4.9184280865323
82,4.93154083512172
83,4.94465358371113
84,4.95776633230055
85,4.97087908088996
86,4.98399182947938
87,4.99710457806879
88,5.01021732665821
89,5.02333007524762
90,5.03644282383704
91,0.264934889781267
92,0.278047638370682
93,0.291160386960097
94,0.304273135549513
95,0.317385884138928
96,0.330498632728343
97,0.343611381317759
98,0.356724129907174
99,0.369836878496589
100,0.382949627086004
101,0.39606237567542
102,0.409175124264835
103,0.42228787285425
104,0.435400621443666
105,0.448513370033081
106,0.461626118622496
107,0.474738867211911
108,0.487851615801327
109,0.500964364390742
110,0.514077112980157
111,0.527189861569572
112,0.540302610158988
113,0.553415358748403
114,0.566528107337818
115,0.579640855927233
116,0.592753604516648
117,0.605866353106064
118,0.618979101695479
119,0.632091850284894
120,0.643672046382922
121,0.656784794972337
122,0.669897543561752
123,0.683010292151167
124,0.696123040740583
125,0.709235789329998
126,0.722348537919413
127,0.735461286508828
128,0.748574035098243
129,0.761686783687659
130,0.774799532277074
131,0.787912280866489
132,0.801025029455904
133,0.81413777804532
134,0.827250526634735
135,0.84036327522415
136,0.853476023813565
137,0.86658877240298
138,0.879701520992396
139,0.892814269581811
140,0.905927018171226
141,0.919039766760641
142,0.932152515350057
143,0.945265263939472
144,0.958378012528887
145,0.971490761118302
146,0.984603509707718
147,0.997716258297133
148,1.01082900688655
149,1.02394175547596
150,1.03705450406538
151,1.05016725265479
152,1.06328000124421
153,1.07639274983362
154,1.08950549842304
155,1.10261824701245
156,1.11573099560187
157,1.12884374419129
158,1.1419564927807
159,1.15506924137012
160,1.16818198995953
161,1.18129473854895
162,1.19440748713836
163,1.20752023572778
164,1.22063298431719
165,1.23374573290661
166,1.24685848149602
167,1.25997123008544
168,1.27308397867485
169,1.28619672726427
170,1.29930947585368
171,1.3124222244431
172,1.32553497303251
173,1.33864772162193
174,1.35176047021134
175,1.36487321880076
176,1.37798596739017
177,1.39109871597959
178,1.404211464569
179,1.41732421315842
180,1.43043696174784
181,1.44354971033725
182,1.45666245892667
183,1.46977520751608
184,1.4828879561055
185,1.49600070469491
186,1.50911345328433
187,1.52222620187374
188,1.53533895046316
189,1.54845169905257
190,1.56156444764199
191,1.5746771962314
192,1.58778994482082
193,1.60090269341023
194,1.61401544199965
195,1.62712819058906
196,1.64024093917848
197,1.65335368776789
198,1.66646643635731
199,1.67957918494672
200,1.69269193353614
201,1.70580468212556
202,1.71891743071497
203,1.73203017930439
204,1.7451429278938
205,1.75825567648322
206,1.77136842507263
207,1.78448117366205
208,1.79759392225146
209,1.81070667084088
210,1.82381941943029
211,1.83693216801971
212,1.85004491660912
213,1.86315766519854
214,1.87627041378795
215,1.88938316237737
216,1.90249591096678
217,1.9156086595562
218,1.92872140814561
219,1.94183415673503
220,1.95494690532444
221,1.96805965391386
222,1.98117240250328
223,1.99428515109269
224,2.00739789968211
225,2.02051064827152
226,2.03362339686094
227,2.04673614545035
228,2.05984889403977
229,2.07296164262918
230,2.0860743912186
231,2.09918713980801
232,2.11229988839743
233,2.12541263698685
234,2.13852538557626
235,2.15163813416568
236,2.16475088275509
237,2.17786363134451
238,2.19097637993392
239,2.20408912852334
240,2.21720187711275
241,2.23031462570217
242,2.24342737429158
243,2.256540122881
244,2.26965287147042
245,2.28276562005983
246,2.29587836864925
247,2.30899111723866
248,2.32210386582808
249,2.33521661441749
250,2.34832936300691
251,2.36144211159632
252,2.37455486018574
253,2.38766760877515
254,2.40078035736457
255,2.41389310595399
256,2.4270058545434
257,2.44011860313282
258,2.45323135172223
259,2.46634410031165
260,2.47945684890106
261,2.49256959749048
262,2.50568234607989
263,2.51879509466931
264,2.53190784325872
265,2.54502059184814
266,2.55813334043756
267,2.57124608902697
268,2.58435883761639
269,2.5974715862058
270,2.61058433479522
271,2.62369708338463
272,2.63680983197405
273,2.64992258056346
274,2.66303532915288
275,2.67614807774229
276,2.68926082633171
277,2.70237357492113
278,2.71548632351054
279,2.72859907209996
